year,I,II,III,total
2008,0,1830,0,1830
2009,941,18584,0,19525
2010,14428,219408,0,233836
2011,6588,116197,0,122785
2012,5262,150558,0,155820
2013,9537,150178.7,0,159715.7
2014,6258,629640,0,635898
2015,1839,1226936.57,0,1228775.57
2016,7338,980324.5,0,987662.5
2017,6437,779249,0,785686
2018,47502,907426,0,954928
2019,120000,3078908,0,3198908
2020,6982,1320582,0,1327564
