year,I,II,III,total
2009,0,358140,0,358140
2010,0,10,144951,144961
2011,0,6353,191205,197558
2012,1804,46276.5,144275,192355.5
2013,113567,173552,3173003,3460122
2014,406960,83905,8828517,9319382
2015,4256,70832,10431096,10506184
2016,2357,65453,5300196,5368006
2017,8025,89107,437868,535000
2018,15188,412964,376647,804799
2019,0,739813,549181,1288994
2020,0,164068,385544,549612
