year,country_name,specimens_per_100k
2014,"United States",138.76852105669397
2015,"United States",178.15981551653803
2016,"United States",169.46080600577415
2017,"French Polynesia",6482.970431859997
2018,"French Polynesia",3842.6494473715484
2019,Canada,522.9350210086213
2020,Canada,507.8948494742148
